country,province,top_ten,style,color,sweetness,points,price,count
Italy,Italy Other,False,Varietal,Rosé,Bone-Dry,92,35,1
Germany,Rheingau,False,Varietal,White,Sweet,91,31,1
United States of America,Oregon,True,Blend,White,Bone-Dry,85,18,1
United States of America,Virginia,False,Varietal,Red,Dry,83,26,2
Spain,Catalonia,False,Sparkling,White,Bone-Dry,92,116,1
United States of America,California,True,Varietal,White,Bone-Dry,87,12,34
Italy,Veneto,False,Varietal,,Bone-Dry,86,10,1
France,Alsace,False,Varietal,White,Dry,94,64,1
Germany,Mosel,False,Varietal,White,Off-Dry,90,38,1
Australia,Australia Other,False,Varietal,White,Bone-Dry,86,11,1
France,Alsace,False,Varietal,White,Off-Dry,87,33,1
New Zealand,Marlborough,False,Varietal,Red,Bone-Dry,86,14,1
France,Provence,False,Varietal,Red,Bone-Dry,93,30,1
France,Alsace,False,Varietal,,Bone-Dry,89,48,1
Spain,Northern Spain,True,Varietal,,Bone-Dry,82,8,1
Argentina,Mendoza Province,True,Blend,Red,Bone-Dry,90,20,4
Italy,Piedmont,True,Varietal,Red,Bone-Dry,85,13,1
Italy,Central Italy,False,Blend,White,Bone-Dry,90,24,1
France,Alsace,False,Varietal,,Bone-Dry,90,40,1
Italy,Piedmont,True,Varietal,Red,Dry,88,95,1
Austria,Carnuntum,False,Varietal,,Bone-Dry,88,19,1
United States of America,Washington,True,Blend,Red,Bone-Dry,89,58,1
Spain,Northern Spain,True,Varietal,,Bone-Dry,91,80,1
Germany,Pfalz,False,Varietal,White,Bone-Dry,85,16,1
Austria,Burgenland,False,Blend,Red,Bone-Dry,90,37,1
United States of America,Washington,True,Blend,White,Bone-Dry,85,40,1
Italy,Tuscany,True,Blend,Red,Sweet,91,60,1
United States of America,Washington,True,Varietal,Red,Bone-Dry,92,57,1
Argentina,Mendoza Province,True,Blend,Red,Bone-Dry,93,120,2
Australia,South Australia,False,Varietal,White,Bone-Dry,87,21,2
Spain,Northern Spain,True,Varietal,Rosé,Bone-Dry,81,13,1
United States of America,California,True,Blend,Red,Sweet,82,15,3
Bulgaria,Bulgaria,False,Varietal,,Bone-Dry,83,9,1
Spain,Catalonia,False,Varietal,Red,Bone-Dry,90,100,1
Italy,Northeastern Italy,False,Varietal,White,Bone-Dry,92,76,2
France,Southwest France,False,Blend,Red,Bone-Dry,87,16,4
France,Rhône Valley,False,Blend,Red,Bone-Dry,89,33,3
Chile,Colchagua Valley,False,Varietal,Red,Bone-Dry,91,29,1
Argentina,Other,False,Blend,Red,Bone-Dry,92,50,1
France,Alsace,False,Varietal,Rosé,Dry,89,17,1
Italy,Northeastern Italy,False,Varietal,,Sweet,88,24,1
Chile,Maipo Valley,False,Varietal,Red,Bone-Dry,84,15,5
United States of America,California,True,Blend,White,Off-Dry,85,12,1
France,Burgundy,True,Varietal,Red,Bone-Dry,95,135,1
France,Southwest France,False,Varietal,Red,Bone-Dry,86,23,1
Spain,Central Spain,False,Varietal,Red,Bone-Dry,84,12,4
Portugal,Tejo,False,Varietal,,Bone-Dry,88,16,2
United States of America,Arizona,False,Varietal,White,Bone-Dry,84,20,1
United States of America,Washington,True,Blend,Red,Bone-Dry,92,64,1
Spain,Central Spain,False,Varietal,Red,Bone-Dry,85,4,1
Portugal,Beira Interior,False,Varietal,,Bone-Dry,89,13,1
Argentina,Mendoza Province,True,Blend,Red,Bone-Dry,85,60,2
Spain,Catalonia,False,Sparkling,White,Bone-Dry,82,11,1
France,Burgundy,True,Varietal,White,Bone-Dry,88,55,1
United States of America,California,True,Varietal,Red,Bone-Dry,80,13,3
France,Alsace,False,Varietal,White,Dry,88,64,1
France,Loire Valley,False,Varietal,,Dry,88,12,1
New Zealand,Central Otago,False,Varietal,Red,Bone-Dry,85,23,2
France,Beaujolais,False,Varietal,Red,Bone-Dry,84,16,1
South Africa,Stellenbosch,False,Varietal,White,Sweet,91,25,1
United States of America,Virginia,False,Blend,White,Off-Dry,85,15,1
France,Alsace,False,Varietal,White,Bone-Dry,84,32,2
United States of America,Oregon,True,Blend,White,Sweet,91,18,1
